semana,macro,topic
2020-37,0.3833333333333333,6
2020-39,0.5872235872235873,6
2020-41,0.5274725274725275,6
2020-43,0.45037037037037037,6
2020-45,0.4133333333333334,6
2020-47,0.49230769230769234,6
2020-49,0.38920454545454547,6
2020-51,0.5134502923976607,6
2020-52,0.4347826086956522,6
2021-5,0.4,6
2021-8,0.5444444444444445,6
2021-10,0.45538603791030974,6
2021-12,0.5166760881854155,6
2021-15,0.5967604433077578,6
2021-17,0.5309803921568628,6
2021-19,0.5467914438502675,19
2021-21,0.518716577540107,6
2021-23,0.4484848484848485,6
2021-25,0.671813953488372,6
2021-28,0.4615384615384615,1
2021-37,0.5312149532710281,6
2021-38,0.607843137254902,6
2021-40,0.5689149560117301,6
2021-42,0.53125,6
2021-44,0.6137387387387387,6
2021-46,0.35714285714285715,6
2021-49,0.609176340519624,6
2021-51,0.375,6
2022-5,0.49034749034749037,6
2022-7,0.5581113801452785,6
2022-10,0.5047619047619047,6
2022-12,0.4269005847953216,6
